Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Fix Transaction Family Tutorial,STL-1,10000,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,toddojala,mfford,mfford,19/Jul/16 2:01 AM,12/Sep/16 11:50 PM,28/Oct/23 3:33 AM,12/Sep/16 11:50 PM,,,,,,,0,,,,,"*Primary Defect*
is that is_valid() should no longer be overridden by Transaction subclasses.
is_valid() and instructions to create it should be removed from the code and tutorial docs.
check_valid() should be updated to call its parent method rather than super(…).is_valid(). 

*Related Defects (listed together as these items should be part of the same commit)*
#2 the ctrl-c may no longer be needed here: Inside the vagrant environment (login with “vagrant ssh”), start a txnvalidator as follows, and after a few seconds, kill it by pressing CTRL-C: … as the validator should exit if it can’t find the transaction family.

#3 string method does not write action and should only conditionally write the space if it exists (which should only be the case for a “take” action).

#4 Update txnvalidator.js to remove unsupported log settings.

#5 Make sure all documentation is updated accordingly based on these fixes.
Make sure all documentation is updated accordingly based on these fixes.

 

",,bithinalangot,mfford,toddojala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9yf:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bithinalangot,mfford,toddojala,,,,,,"22/Aug/16 11:25 PM;mfford;Linked to NML-1053;;;","22/Aug/16 11:39 PM;toddojala;Made code change that seems to work. Will make sure, then create appropriate commits.;;;","02/Sep/16 4:35 AM;toddojala;https://github.intel.com/maiden-lane/sawtooth-core/pull/262;;;",,,,,,,,,,,,,,,,,,,,
Rename Environment Variable CURRENCY to SAWTOOTH,STL-3,12248,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,,mfford,mfford,20/Jul/16 12:36 AM,05/May/17 6:38 AM,28/Oct/23 3:33 AM,12/Apr/17 1:21 AM,,,,,,,0,,,,,"The environment variable, CURRENCY needs to be renamed SAWTOOTH

Additional Information:

This should extend to CurrencyHome within the code as well. 

Another option is rather than sawtooth, how about ""base""? It appears we already have base in the config resolution.

from mktplace_config.py:

{code}
    resolved = cfg.resolve({
        'home': 'CurrencyHome',
        'host': 'CurrencyHost',
        'node': 'NodeName',
        'base': 'BaseDirectory',
...
{code}
",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9y7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,"12/Apr/17 1:21 AM;mfford;Closing as no longer valid;;;",,,,,,,,,,,,,,,,,,,,,,
Update Turorial to address Dev environment Vagrant installation issue  ,STL-4,12249,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,,mfford,mfford,27/Jul/16 4:25 AM,05/May/17 6:38 AM,28/Oct/23 3:33 AM,12/Apr/17 1:19 AM,,,,,,,0,,,,,"Issue with vagrant installation of pip and other items. Update tutorial to allow setting the option for Vagrantfile to print a warning and exit
",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9xj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Tutorial Configuration File,STL-5,12250,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,toddojala,mfford,mfford,27/Jul/16 5:25 AM,05/May/17 6:38 AM,28/Oct/23 3:33 AM,20/Aug/16 6:36 AM,,,,,,,0,,,,,"The current tutorial configuration file needs to be updated following recent NAT additions from week ending 7/22.

	. 	",,mfford,toddojala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9xz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,toddojala,,,,,,,"20/Aug/16 6:36 AM;toddojala;Dan Mack reviewed this code and merged it.;;;",,,,,,,,,,,,,,,,,,,,,,
Uber chaincode (UC),STL-6,12322,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,Clayton Sims,Clayton Sims,Clayton Sims,12/Aug/16 1:59 AM,20/Oct/16 6:07 AM,28/Oct/23 3:33 AM,17/Aug/16 11:56 PM,,,,,,,0,,,,,Dup of Fab-24. ,,Clayton Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxabb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clayton Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test External ID Story,STL-8,12521,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,22/Aug/16 11:28 PM,12/Apr/17 1:20 AM,28/Oct/23 3:33 AM,12/Apr/17 1:20 AM,,,,,,,0,,,,,Test external ID fields,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NML-1033 Test Story from STL JIRA,,,,,,"1|hzx9xr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,"12/Apr/17 1:20 AM;mfford;No longer valid.;;;",,,,,,,,,,,,,,,,,,,,,,
Investigate is_valid in arcade for transactions that have been altered,STL-9,13005,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,14/Oct/16 12:18 AM,28/Oct/16 10:47 PM,28/Oct/23 3:33 AM,28/Oct/16 10:47 PM,,,,,,,0,,,,,"Issue:
When you alter an arcade transaction after it's signature has been added, it passes is_valid in SignedObject. Later transactions may fail because the OriginatorId isn't correct. 

Suggestion:
Perhaps, a greater permissioning scheme could be added to arcade, like mktplace has where a creator-id needs to both match a valid creator in the store, and the txn.OriginatorId. 

",,mfford,,,,,,,,,,,,,,STL-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9uf:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,"21/Oct/16 2:53 AM;mfford;In reference to STL-11 which is related to this item and STL-10:
What we ended up going with is adding self.public_key to SignedObject. When verify signature is called it checks the expected public_key against the the originator_public_key that is generated from the serialized object and the signature. If they differ, the signed_object (transaction) has been modified and is not valid. This fixes all transaction families since SignedObject is the superclass to all transactions.   ;;;",,,,,,,,,,,,,,,,,,,,,,
Fix is_valid in arcade for transactions that have been altered,STL-10,13006,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,14/Oct/16 12:20 AM,28/Oct/16 11:12 PM,28/Oct/23 3:33 AM,28/Oct/16 11:12 PM,,,,,,,0,,,,,"Issue:
When you alter an arcade transaction after it's signature has been added, it passes is_valid in SignedObject. Later transactions may fail because the OriginatorId isn't correct. 

Suggestion:
Perhaps, a greater permissioning scheme could be added to arcade, like mktplace has where a creator-id needs to both match a valid creator in the store, and the txn.OriginatorId. ",,mfford,,,,,,,,,,,,,,,,,,,STL-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9un:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,"28/Oct/16 11:12 PM;mfford;What we ended up going with is adding self.public_key to SignedObject. When verify signature is called it checks the expected public_key against the the originator_public_key that is generated from the serialized object and the signature. If they differ, the signed_object (transaction) has been modified and is not valid. This fixes all transaction families since SignedObject is the superclass to all transactions.;;;",,,,,,,,,,,,,,,,,,,,,,
Proposal of participant registration improvement in STL,STL-11,13056,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,High,Done,FlyingTiger,FlyingTiger,FlyingTiger,19/Oct/16 6:59 PM,05/May/17 6:38 AM,28/Oct/23 3:33 AM,12/Apr/17 1:22 AM,,,,,,,0,,,,,"Hi everyone, here is my thought about the identity management in STL, I think we can change the current process to the following proposed one.

The proposed process of participant registration in STL:

1. The participant generates a private-public key pair: `{private_key, publick_key}`
2. Add a `PublickKey` field in the current Participant register transaction

```
update = {
            'UpdateType': 'RegisterParticipant',
            'Name': name,
            'PublicKey': public_key,
            'Description': description,
        }
```

or, use `transaction[""PublicKey""] = public_key`
3. Convert the register transaction to cbor format.
4. Paticipant uses the `private_key` to sign the register transaction to get a `signature`, then `transaction[""Signature""] = signature`.
5. Paticipant sends to the validator the participant register transaction via a transaction message.
6. After receiving the message, validator extracts the participant register transaction and obtains the `public_key`, `signature` and the cbor binary of the transaction.
7. Validator validates the signature of participant register transaction with the `public_key`. If validated, i.e. the cbor binary of the transaction matches the signature, the transaction is put in `PendingTransactions`, waiting for being added to the ledger (after consensus)
8. When the participant register transaction is added to the ledger, a `ParticipantObject` is generated and put to the store

```
class Register(transaction.Update):
    def apply(self, store, txn):
        pobj = ParticipantObject(txn.Identifier)
        pobj.PublicKey= self.PublicKey
        pobj.Address = PubKeyToAddress(self.PublicKey)
        ....
        store[txn.Identifier] = pobj.dump()
```

9. In step 7, if the validator checks the signature is not valid for the transaction, the participant register transaction fails and a failure message is returned.

Of course, If using ECDSA , the participant generates a private-public key pair: `{private_key, publick_key}` and invokes PubToAddress with publick_key to get an address, we could replace the `PublickKey` with an 'Address' field in the current Participant register transaction in step 2. 
Then in step 7, the validator could recover a recovered_public_key with the cbor binary of the transaction and the signature, invokes PubKeyToAddress with the recovered_public_key to get an address, compares the address and the value of 'Address' field, if equal, passes the verification of signature.
",,FlyingTiger,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxd8n:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,FlyingTiger,mfford,,,,,,,"20/Oct/16 8:44 PM;FlyingTiger;Of course, If using ECDSA , we could replace the `PublickKey` with an 'Address'  field in the current Participant register transaction in step 2.
Then  in step 7, the validator could recover a public_key with the cbor binary of the transaction and the signature, invokes PubKeyToAddress with the public_key to get an address, compares the address and the value of 'Address' field, if equal, passes the validation. ;;;","21/Oct/16 11:37 AM;FlyingTiger;mfford
@flyingtiger.feihu Thanks for submitting the proposal! We'll take a look at it.

amundson
@flyingtiger.feihu - is your proposal specific to to mktplace?

flyingtiger.feihu
@amundson The process I described in proposal is for the participant register in mktplace , However, I think the method can be applied to other  transaction families that include such identity management .  for example, XoTransaction.

flyingtiger.feihu
@mfford The method I described in the proposal could also fix the bug of XoTransaction in https://jira.hyperledger.org/browse/STL-9 .

agunde
@flyingtiger.feihu Thanks for the proposal. What we ended up going with is adding self.public_key to SignedObject. When verify signature is called it checks the expected public_key against the the originator_public_key that is generated from the serialized object and the signature. If they differ, the signed_object (transaction) has been modified and is not valid. This fixes all transaction families since SignedObject is the superclass to all transactions.    Thanks again for pointing out this issue.;;;","12/Apr/17 1:22 AM;mfford;Closing to groom backlog.;;;",,,,,,,,,,,,,,,,,,,,
ImportError: No module named poet0_enclave_simulator,STL-12,13429,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,High,Done,mfford,bithinalangot,bithinalangot,14/Nov/16 10:27 PM,16/Nov/16 11:16 PM,28/Oct/23 3:33 AM,16/Nov/16 11:16 PM,,,,,,,0,,,,,"File ""./bin/txnvalidator"", line 39, in <module>
    main_wrapper()
  File ""/project/sawtooth-core/validator/txnserver/validator_cli.py"", line 518, in main_wrapper
    main(sys.argv[1:])
  File ""/project/sawtooth-core/validator/txnserver/validator_cli.py"", line 509, in main
    local_main(cfg, windows_service)
  File ""/project/sawtooth-core/validator/txnserver/validator_cli.py"", line 100, in local_main
    consensus = poet_consensus.PoetConsensus(config)
  File ""/project/sawtooth-core/validator/sawtooth_validator/consensus/poet0/poet_consensus.py"", line 46, in __init__
    poet_enclave = importlib.import_module(enclave_module)
  File ""/usr/lib/python2.7/importlib/__init__.py"", line 37, in import_module
    __import__(name)
ImportError: No module named poet0_enclave_simulator

The error might have occurred due to the recent change. 

-            enclave_module = 'journal.consensus.poet0.poet_enclave_simulator' 
+            enclave_module = 'sawtooth_validator.consensus.poet0.' \
+                             'poet_enclave_simulator' \
                              '.poet0_enclave_simulator'",,bithinalangot,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxerz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bithinalangot,mfford,,,,,,,"15/Nov/16 11:31 PM;mfford;Assigned;;;",,,,,,,,,,,,,,,,,,,,,,
