Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Rewrite the AWS tutorial,STL-1001,26856,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,mfford,17/Jan/18 4:40 AM,13/Mar/18 1:29 AM,28/Oct/23 3:33 AM,13/Mar/18 1:29 AM,,,,,,,,,,,0,,,,,,"- Make procedures consistent (Docker, Ubuntu, & AWS)
 - Remove reference content and unnecessary steps

Moved this item to -STL-1002-:
 * Redraw picture to show example system

Moved this item to STL-1060: 
 - Convert intkey create_batch and load commands into intkey set, inc, dec, show, list and explain —wait",,achenette,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1033,,,,,,,,,,,"1|hzwub3:",,,,,,Sprint 47,Sprint 48,Sprint 49,,,,,,5.0,,,,,,,,,,,,achenette,mfford,,,,,,,"06/Mar/18 2:01 AM;achenette;Moved Docker piece to STL-1108 and Ubuntu piece to STL-1109.;;;",,,,,,,,,,
Add high-level Sawtooth picture and redraw tutorial pictures in App Dev Guide,STL-1002,26857,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,mfford,17/Jan/18 4:41 AM,16/Feb/18 2:01 AM,28/Oct/23 3:33 AM,16/Feb/18 2:01 AM,,,,,,,,,,,0,,,,,,"Moved from STL-1001: 
 - Redraw picture in Docker/Ubuntu/AWS tutorial to show example system",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1033,,,,,,,,,,,"1|hzwubj:",,,,,,Sprint 47,Sprint 48,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Create a glossary and make terminology consistent,STL-1003,26858,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,mfford,17/Jan/18 4:41 AM,01/Feb/18 7:35 AM,28/Oct/23 3:33 AM,01/Feb/18 7:35 AM,,,,,,,,,,,0,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1033,,,,,,,,,,,"1|hzwubr:",,,,,,Sprint 47,,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Edit CLI reference text for new commands,STL-1004,26859,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,achenette,achenette,mfford,17/Jan/18 4:42 AM,21/May/19 11:34 PM,28/Oct/23 3:33 AM,,,,,,sawtooth CLI,,,,,,0,Documentation,Needs-Review,,,,"  - sawtooth peer
  - sawnet compare-chains",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1033,,,,,,,,,,,"1|hzwz4v:",,,,,,Sprint 47,Sprint 48,,,,,,,2.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Rewrite and retitle the XO {{language}} SDK Tutorials,STL-1005,26860,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,mfford,17/Jan/18 4:43 AM,01/Mar/18 2:04 AM,28/Oct/23 3:33 AM,01/Mar/18 2:04 AM,,,,,,,,,,,0,,,,,,"- Change title to ""Using the \{\{ language }} SDK""
 - Write an introduction to describe transaction processor functionality (what it needs to do), state, and namespace/addressing
 - STL-1070: Reorganize and rewrite XO gameplay info in ""Introduction to the XO Transaction Family""
 - -Add procedure: ""Setting up your development environment for \{\{ language }}- (not required)
 - Swap the order of ""The Transaction Processor"" (apply, metadata) and ""Building and Submitting Transactions""
 - Add relevant content from the spec for the XO transaction family
 - Update text related to the code examples with changes from the XO refactoring work

 ",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1033,,,,,,,,,,,"1|hzwubz:",,,,,,Sprint 47,Sprint 48,,,,,,,5.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Fix consistency issues and one error in the CLI reference ,STL-1006,26861,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,achenette,achenette,mfford,17/Jan/18 4:43 AM,21/May/19 11:33 PM,28/Oct/23 3:33 AM,,,,,,,,,,,,0,Documentation,Needs-Review,,,,"- Add missing subcommand lists
- Fix description of intkey --wait option",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1033,,,,,,,,,,,"1|hzwz4n:",,,,,,Sprint 47,Sprint 48,,,,,,,1.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Implement command to prune the merkle database from state not related to any block in the block store,STL-1007,26863,,New Feature,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Low,,,adamludvik,adamludvik,17/Jan/18 4:53 AM,25/May/19 12:02 AM,28/Oct/23 3:33 AM,,,,,,,,,,,,0,Needs-Review,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwutr:",,,,,,Sprint 47,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
Implement command to backup and restore a validator's data files,STL-1008,26864,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,High,Done,adamludvik,adamludvik,adamludvik,17/Jan/18 4:54 AM,20/Jan/18 2:04 AM,28/Oct/23 3:33 AM,20/Jan/18 2:04 AM,,,,,,,,,,,0,PerStability,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwuan:",,,,,,Sprint 47,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
Implement command to sync blocks from other validators directly to the blockstore,STL-1009,26865,,New Feature,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,adamludvik,adamludvik,adamludvik,17/Jan/18 4:55 AM,21/May/19 11:33 PM,28/Oct/23 3:33 AM,,,,,,,,,,,,0,Needs-Review,PerStability,,,,This should operate over ZMQ and write directly to the block store database without requiring running the validator,,adamludvik,oleks_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwutj:",,,,,,Sprint 47,,,,,,,,3.0,,,,,,,,,,,,adamludvik,oleks_p,,,,,,,,,,,,,,,,,
Implement command to validate block store and global state database consistency,STL-1010,26917,,New Feature,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Low,,,adamludvik,adamludvik,18/Jan/18 5:54 AM,25/May/19 12:02 AM,28/Oct/23 3:33 AM,,,,,,,,,,,,0,Needs-Review,,,,,"At a minimum, this command should validate that all blocks in the chain from head to genesis are in the blockstore and that all state roots in these blocks can be found in global state.",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwz9b:",,,,,,Sprint 47,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
