Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment
Test Transact Issue on Multi-Project Kanban Board,TX-1,39837,Improvement,Done,TX,Transact,software,amundson,,,Medium,Done,mfford,mfford,mfford,16/May/19 5:03 AM,21/May/19 5:38 AM,28/Oct/23 2:43 AM,21/May/19 5:38 AM,,0,,,mfford,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwu9b:5",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,
Parity w/Sawtooth,TX-3,39951,Epic,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,amundson,amundson,21/May/19 5:35 AM,08/Jun/19 2:24 AM,28/Oct/23 2:43 AM,,,0,"This epic is complete when Transact is at feature-parity with Sawtooth, to the extent that Sawtooth can start using Transact instead of it's current python TEP implementation.",,amundson,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-7,,Parity w/Sawtooth,To Do,No,,Unset,No,,,"1|i00cxc:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,
Design Transact Documentation Stories,TX-4,39952,Improvement,Done,TX,Transact,software,amundson,,,Medium,Done,agunde,agunde,agunde,21/May/19 5:37 AM,05/Jun/19 1:35 AM,28/Oct/23 2:43 AM,05/Jun/19 1:35 AM,,0,Figure out what stories need to exist for when we do a Transact Documentation Sprint,,agunde,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-25,,,No,,Unset,No,,,"1|i00ljv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,"05/Jun/19 1:35 AM;agunde;The transact documentation epic has created as an output of this story.;;;"
Bootstrap HL Transact,TX-5,39953,Epic,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,amundson,amundson,21/May/19 5:38 AM,12/Jun/19 12:16 AM,28/Oct/23 2:43 AM,,,0,"Do all the bootstrapping tasks necessary to get the Transact project to an initial state within HL.

For reference, see list at: https://wiki.hyperledger.org/display/tools/Transact",,amundson,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-7,,Bootstrap HL Transact,To Do,No,,Unset,No,,,"1|i00cxf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,
Add XO execution test to transact,TX-6,39954,Improvement,Done,TX,Transact,software,amundson,,,Medium,Done,pschwarz,pschwarz,pschwarz,21/May/19 5:40 AM,05/Jun/19 2:33 AM,28/Oct/23 2:43 AM,05/Jun/19 2:33 AM,,0,"Ideally, we would write a test within transact to demonstrate running a Sawtooth XO transaction. ",,pschwarz,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-3,,,No,,Unset,No,,,"1|i00odr:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,
Implement Lock-free context manager,TX-7,39955,Improvement,In Review,TX,Transact,software,amundson,,,Medium,,satelander,pschwarz,pschwarz,21/May/19 5:49 AM,10/Feb/22 5:40 PM,28/Oct/23 2:43 AM,,,0,Implement a lock-free context manage that is readable from multiple threads.,,pschwarz,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-3,,,No,,Unset,No,,,"1|hzzl9w:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,
Write for RFC Command Family,TX-8,39956,Improvement,In Review,TX,Transact,software,amundson,,,Medium,,pschwarz,pschwarz,pschwarz,21/May/19 5:56 AM,04/Sep/19 10:58 PM,28/Oct/23 2:43 AM,,,0,"Write an RFC for a Command Transaction family, which exercise all of the available operations as specified in transactions directly.",,pschwarz,,,,,,,,,,,TX-23,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-3,,,No,,Unset,No,,,"1|i00oe7:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,
Write Multi-database RFC for Transact,TX-9,39957,Improvement,In Review,TX,Transact,software,amundson,,,Medium,,ltseeley,pschwarz,pschwarz,21/May/19 5:57 AM,01/Jun/19 3:53 AM,28/Oct/23 2:43 AM,,,0,Write an RFC for allowing a smart contract in transact to read from multi-database (only write to one),,pschwarz,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00oef:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,
Serial Scheduer: Support Multiple Transactions Per Batch ,TX-10,39958,Improvement,Done,TX,Transact,software,amundson,,,Medium,Done,ltseeley,pschwarz,pschwarz,21/May/19 6:04 AM,15/Jun/19 12:15 AM,28/Oct/23 2:43 AM,15/Jun/19 12:15 AM,,0,Support for multiple transactions in a batch is missing.,,pschwarz,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-3,,,No,,Unset,No,,,"1|i00oen:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,
Determine a logo for Transact,TX-11,39984,Task,Done,TX,Transact,software,amundson,,,High,Done,amundson,amundson,amundson,21/May/19 11:17 PM,26/Jun/19 11:30 PM,28/Oct/23 2:43 AM,26/Jun/19 11:30 PM,,0,We need a logo for Hyperledger Transact.,,amundson,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-5,,,No,,Unset,No,,,"1|hzwu9b:5w",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,
