Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
remove unused options in config,FABG-1,28898,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,pavan-sk,pavan-sk,pavan-sk,27/Mar/18 3:48 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,06/Apr/18 4:09 AM,,,,,,,,0,fabric-sdk-go,,,,pavan-sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz3av:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,pavan-sk,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go - Create Channel,FABG-2,15473,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,aleksandar.likic,aleksandar.likic,28/Mar/17 6:35 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,07/Apr/17 4:27 AM,,,,,,,,0,,,Ability to create a channel using Go Client SDK.,,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxonb:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,aleksandar.likic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Automatically include prior version capabilities in new capabilities,FABG-3,31010,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,bstasyszyn,bstasyszyn,bstasyszyn,13/Jun/18 1:17 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,13/Jun/18 8:51 PM,,,,,,,,0,,,"When calling HasCapability() on a particular version (e.g. V1_1) then true should be returned if the application has a newer version capability (e.g. v1_2, v1_3, etc.).",,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzelr:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,bstasyszyn,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
use fabric 1.2 RC1 docker images for tests,FABG-4,31299,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,22/Jun/18 11:21 PM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,28/Jun/18 2:02 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzfw7:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Cleanup remaining Go SDK integration tests (similar to multi-org cleanup),FABG-5,26118,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sandrav,troyronda,troyronda,17/Dec/17 4:33 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,09/Jan/18 6:09 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx0fz:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Resource Client - Join channel,FABG-6,24031,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sandrav,sandrav,sandrav,20/Nov/17 11:35 PM,21/Jul/18 4:15 AM,28/Oct/23 3:24 AM,22/Nov/17 8:14 AM,,,,,,,,0,,,"Resource Client is responsible for managing resources:
- peers joining channels",,sandrav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzynkn:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,sandrav,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Handle hashed RWSet when resolving endorsers,FABG-7,31278,,Story,To Do,FABG,Fabric SDK Go,software,troyronda,,,Medium,,bstasyszyn,troyronda,troyronda,22/Jun/18 4:35 AM,09/Aug/18 2:50 AM,28/Oct/23 3:24 AM,,,,,,,,,0,,,"From the comment on https://gerrit.hyperledger.org/r/c/23417/

Extract the collection name and feed that to the SD query in order to not expose peers outside of the collection to data they shouldn't see that may arrive via the transient field.",,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABG-95,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzfu7:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Endorsement Handler,FABG-8,27384,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,bstasyszyn,bstasyszyn,bstasyszyn,03/Feb/18 2:56 AM,21/Jul/18 4:18 AM,28/Oct/23 3:24 AM,03/Feb/18 6:43 AM,,,,,,,,0,,,Split the endorsement handler into two handlers: Target Selection Handler and Endorsement Handler. This allows for more granular reuse/replacement of handlers.,,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyvtr:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,bstasyszyn,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go -Update to vendoring to dep,FABG-9,18441,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Lowest,Done,troyronda,troyronda,troyronda,21/Jun/17 3:42 AM,21/Jul/18 4:15 AM,28/Oct/23 3:24 AM,26/Aug/17 1:13 AM,,,,,,,,0,,,[https://github.com/golang/dep/],,troyronda,,,,,,,,,,,,,Not a security issue,,,,,,,,,FABG-265,,,,,,,FABG-410,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx3vz:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Resource Mgmt: Move resource from context to New,FABG-10,28162,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sandrav,sandrav,sandrav,02/Mar/18 2:44 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,03/Mar/18 12:33 AM,,,,,,,,0,,,In resource mgmt client remove resource from context.,,sandrav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyzlb:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,sandrav,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
