Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment
[Rust API] The API for devs to use to write Smart Contracts,FCW-1,45299,Epic,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Highest,,,mbwhite,mbwhite,18/Jun/20 5:14 PM,18/Jun/20 9:07 PM,28/Oct/23 2:26 AM,,,,,0,,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-3,,Rust Contract/Ledger API,To Do,No,,Unset,No,,,"1|i01d83:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[Wasm runtime] Chaincode hosted Wasm runtime,FCW-2,45300,Epic,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Highest,,,mbwhite,mbwhite,18/Jun/20 5:15 PM,18/Jun/20 9:45 PM,28/Oct/23 2:26 AM,,,,,0,,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-5,,Wasm Runtime CC,To Do,No,,Unset,No,,,"1|i01d8b:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
"[Extended Collateral] extra samples, documentation, performance reports etc. ",FCW-3,45301,Epic,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,High,,,mbwhite,mbwhite,18/Jun/20 5:16 PM,23/Jul/20 9:34 PM,28/Oct/23 2:26 AM,,,,,0,,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-7,,Extended Collateral,To Do,No,,Unset,No,,,"1|i01d8j:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[Deployment/Configuration] notes/scripts for Peer to deploy Wasm CC + Rust Contract,FCW-4,45302,Epic,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,High,,,mbwhite,mbwhite,18/Jun/20 5:21 PM,18/Jun/20 5:31 PM,28/Oct/23 2:26 AM,,,,,0,,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-9,,Configuration and Deployment,To Do,No,,Unset,No,,,"1|i01d8r:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want to know how to debug my contract implementation,FCW-5,45303,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 5:25 PM,23/Jul/20 10:05 PM,28/Oct/23 2:26 AM,,,,,0,,,"How to debug:
 * build changes needed?
 * logging?
 * single step?
 * production?
 * perf issues?",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-3,,,No,,Unset,No,,,"1|i01ex7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] what is the performance of the contract,FCW-6,45304,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 5:27 PM,23/Jul/20 10:06 PM,28/Oct/23 2:26 AM,,,,,0,,,"* what affects performance?
 * best practice in contracts?
 * how do I measure this with caliper?
 * what is expected?",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-3,,,No,,Unset,No,,,"1|i01dew:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] How do I structure a Smart Contract Crate,FCW-7,45305,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,18/Jun/20 5:34 PM,29/Jul/20 9:42 PM,28/Oct/23 2:26 AM,29/Jul/20 9:42 PM,TP1,,,0,cc-triaged,,"* cargo.toml depenencies and settings
 * required directories
 * required 'use' directives 
 * required 'macros'",,calanais,mbwhite,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01d9f:",,,,Unset,Unset,20 July to 7 Aug,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),calanais,mbwhite,,,"28/Jul/20 6:23 PM;calanais;This guide lists the requirements that are required. [https://hyperledgendary.github.io/fabric-contract-api-rust/guides/writing-a-rust-contract.html]

Hoping to get somebody to work through the getting started and check it really does work;;;",,
[As a SC Dev] How do I build to target Wasm,FCW-8,45306,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,18/Jun/20 5:35 PM,29/Jul/20 9:43 PM,28/Oct/23 2:26 AM,29/Jul/20 9:43 PM,TP1,,,0,cc-triaged,,"* references to Wasm build process
 * limitations of Wasm
 *",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01d9n:",,,,Unset,Unset,20 July to 7 Aug,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] How do I unit test the contract impl,FCW-9,45307,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 5:36 PM,28/Jul/20 7:06 PM,28/Oct/23 2:26 AM,,TP2,,,0,,,"* how to unit test the contract
 * built in wasm or native
 * l",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01da3:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] How to mark the contract and transaction functions,FCW-10,45308,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,18/Jun/20 5:40 PM,27/Aug/20 5:05 PM,28/Oct/23 2:26 AM,27/Aug/20 5:05 PM,TP1,,,0,cc-triaged,,"* Transaction and Impl macros
 * Options that are contained within them",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01d9v:",,,,Unset,Unset,20 July to 7 Aug,Wasm 7 Aug to 14 Aug,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] What is the concurrency model of the tx invocations,FCW-11,45309,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 5:41 PM,28/Jul/20 7:06 PM,28/Oct/23 2:26 AM,,TP2,,,0,,,"* concept of the transaction context
 * how many are run at once
 * rust concurrency requirements",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01dab:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] how to pass in transient data,FCW-12,45310,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,mbwhite,mbwhite,mbwhite,18/Jun/20 5:42 PM,25/Sep/20 5:36 PM,28/Oct/23 2:26 AM,25/Sep/20 5:36 PM,TP2,,,0,cc-triaged,doc,"* how is transient data passed in
 * how to mark that
 * how to index relating to the client submission",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01gfv:",,,,Unset,Unset,18Sep to 25Sep,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] what types are supported for the fn args,FCW-13,45311,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,mbwhite,mbwhite,mbwhite,18/Jun/20 5:43 PM,25/Sep/20 5:36 PM,28/Oct/23 2:26 AM,25/Sep/20 5:36 PM,TP1,,,0,cc-triaged,doc,"* type model for tx functions
 * limitations, eg arrays, generics, optional",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01ggj:",,,,Unset,Unset,20 July to 7 Aug,Wasm 7 Aug to 14 Aug,18Sep to 25Sep,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] How do I define my own struct to be passed in ,FCW-14,45312,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 5:46 PM,28/Jul/20 7:06 PM,28/Oct/23 2:26 AM,,TP2,,,0,,,- definition of the concept of datatype related to the existing CC models.,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01daz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] I want tooling to see compatible metadata with other contracts,FCW-15,45313,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 5:47 PM,18/Jun/20 5:47 PM,28/Oct/23 2:26 AM,,,,,0,,,- harmonize the metadata across the contracts,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01db7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want to mark the return for success and errors,FCW-16,45314,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,mbwhite,mbwhite,mbwhite,18/Jun/20 5:50 PM,25/Sep/20 5:36 PM,28/Oct/23 2:26 AM,25/Sep/20 5:36 PM,TP1,,,0,cc-triaged,doc,"* what can be returned from tx function
 * how does an error condition can be notified
 * how does a logic (unexpected) error condition be notified",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01gg3:",,,,Unset,Unset,20 July to 7 Aug,Wasm 7 Aug to 14 Aug,18Sep to 25Sep,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want to access world state and private data collections,FCW-17,45319,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,18/Jun/20 8:54 PM,14/Sep/20 10:11 PM,28/Oct/23 2:26 AM,14/Sep/20 10:11 PM,TP1,,,0,cc-triaged,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01b83:1z8idzy",,,,Unset,Unset,20 July to 7 Aug,Wasm 7 Aug to 14 Aug,11Sep to 18Sep,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want CRUD operations on the core states,FCW-18,45320,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,18/Jun/20 8:55 PM,27/Aug/20 5:06 PM,28/Oct/23 2:26 AM,27/Aug/20 5:06 PM,TP1,,,0,cc-triaged,,- core states being pure byte[],,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01da0:r",,,,Unset,Unset,20 July to 7 Aug,Wasm 7 Aug to 14 Aug,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want to access CRUD via the datatypes,FCW-19,45321,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 8:55 PM,28/Jul/20 7:06 PM,28/Oct/23 2:26 AM,,TP2,,,0,,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01db4:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want to specify the ledger serialisation format,FCW-20,45322,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 8:55 PM,18/Jun/20 8:55 PM,28/Oct/23 2:26 AM,,,,,0,,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01dcz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
