Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Enable CI for fabric-sdk-py,FABP-1,12927,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,High,Done,genggjh,grapebaba,grapebaba,08/Oct/16 5:38 PM,21/Jul/18 4:15 AM,28/Oct/23 2:25 AM,23/Oct/16 7:51 PM,,v0.6,,,1,,,Enable CI for fabric-sdk-py project ,,baohua,genggjh,grapebaba,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxct3:",,,,Unset,,Sprint 2,Sprint 2,,,3.0,Unset,,,,,,,,,,,baohua,genggjh,grapebaba,,,,,,,"08/Oct/16 8:46 PM;baohua;Sure, and suggest the ci utilize existing tox checking.;;;","23/Oct/16 7:51 PM;genggjh;https://gerrit.hyperledger.org/r/#/c/1831/ has been merged.

https://gerrit.hyperledger.org/r/#/q/topic:fab-625;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve tox config,FABP-2,12929,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,08/Oct/16 5:43 PM,21/Jul/18 4:16 AM,28/Oct/23 2:25 AM,02/Dec/16 4:43 PM,,v0.6,,,0,,,"Improve tox config, include coverage report",,grapebaba,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx9p3:",,,,Unset,,Sprint 2,,,,3.0,Unset,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync install chaincode for latest Fabric version,FABP-3,18889,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,03/Jul/17 4:59 PM,21/Jul/18 4:17 AM,28/Oct/23 2:25 AM,27/Jul/17 12:37 PM,,v1.1.0,,,0,SDK-Python,,Sync install chaincode for latest Fabric version,,baohua,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzy6nz:",,,,Unset,,,,,,,Unset,,,,,,,,,,,baohua,grapebaba,,,,,,,,"06/Jul/17 3:05 PM;baohua;We can safely use the rc1 version until the newer release.;;;","27/Jul/17 12:37 PM;baohua;Currently, we already use the latest farbci-1.0.0 image.;;;","30/Sep/17 3:46 PM;baohua;https://gerrit.hyperledger.org/r/#/c/11765/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Implement key value store for token managemant,FABP-4,12928,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,08/Oct/16 5:40 PM,21/Jul/18 4:16 AM,28/Oct/23 2:25 AM,01/Nov/16 5:00 PM,,v0.6,,,0,,,Implement a simple key value store based file system.,,grapebaba,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx9on:",,,,Unset,,Sprint 2,,,,3.0,Unset,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation with Sphinx,FABP-5,12930,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Low,Done,grapebaba,grapebaba,grapebaba,08/Oct/16 5:44 PM,21/Jul/18 4:15 AM,28/Oct/23 2:25 AM,19/Apr/17 11:55 AM,,v0.6,,,0,,,Documentation with Sphinx,,baohua,grapebaba,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx9pj:",,,,Unset,,Sprint 2,Sprint 4,,,5.0,Unset,,,,,,,,,,,baohua,grapebaba,,,,,,,,"02/Dec/16 4:42 PM;baohua;Is markdown enough currently?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key-value store design,FABP-6,13000,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,baohua,baohua,13/Oct/16 3:49 PM,21/Jul/18 4:17 AM,28/Oct/23 2:25 AM,08/Nov/16 2:25 PM,,v0.6,,30/Nov/16 12:00 AM,0,SDK-Python,,A local key-value store is required to store user credentials.,,baohua,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx9of:",,,,Unset,,Sprint 2,,,,,Unset,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracking latest proto files,FABP-7,13565,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,30/Nov/16 10:51 AM,21/Jul/18 4:16 AM,28/Oct/23 2:25 AM,02/Dec/16 4:45 PM,,,,,0,SDK-Python,,"The fabric master branch is still changing.
Will keep api following latest proto files.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxfb3:",,,,Unset,,,,,,,Unset,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix the user context in client class and add two methods for key value store.,FABP-8,19007,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Low,Done,MichaelWang,MichaelWang,MichaelWang,07/Jul/17 10:25 AM,21/Jul/18 4:16 AM,28/Oct/23 2:25 AM,05/Feb/18 6:02 PM,,,,,0,SDK-Python,,"According to the spec, the user context in Client class should be a user instance, but not a crypto instance. So this is may be a typo which will be a bug. This is fixed.

And again according to the spec, client should set the KeyValue store and this will be a property of client class. So two methods are added to client class.",,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx46n:",,,,Unset,,,,,,,Unset,,,,,,,,,,,MichaelWang,,,,,,,,,"07/Jul/17 12:01 PM;MichaelWang;After I complete the configuration of git, I will commit the branch then.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dockerize development environment,FABP-9,12932,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,genggjh,grapebaba,grapebaba,08/Oct/16 5:48 PM,21/Jul/18 4:16 AM,28/Oct/23 2:25 AM,30/Nov/16 10:56 AM,,v0.6,,,0,,,,,grapebaba,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx9qn:",,,,Unset,,Sprint 2,,,,5.0,Unset,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactor Chain.add_peer Chain.add_peers,FABP-10,16080,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,grapebaba,grapebaba,28/Apr/17 3:14 PM,21/Jul/18 4:16 AM,28/Oct/23 2:25 AM,18/Apr/18 10:17 AM,,,,,0,,,"Use this methods to implement join channel semantic is very nature IMO. 

def add_peer(self,peer)
""""""
send join channel request and when success,add peer to chain cache.
""""""

def add_peers(self,peers)
""""""
send join channel request and when success,add peers to chain cache.
""""""

",,baohua,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxrlj:",,,,Unset,,,,,,,Unset,,,,,,,,,,,baohua,grapebaba,,,,,,,,"29/Apr/17 12:02 AM;baohua;+1!

Maybe can only use the add_peers() api to support arbitrary number of peer to add.;;;","15/Nov/17 2:15 PM;baohua;[~grapebaba] is this still valid?;;;","18/Apr/18 10:17 AM;baohua;Will temporarily close this since no progress for quite a while.
Feel free to re-open if needed.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
